[2025-07-19 14:59:10] 8.8.8.8  41.00 ms  (min: 41.00  max: 41.00  avg: 41.00)
[2025-07-19 14:59:10] 1.1.1.1  31.00 ms  (min: 31.00  max: 31.00  avg: 31.00)
[2025-07-19 14:59:10] example.com  135.00 ms  (min: 135.00  max: 135.00  avg: 135.00)
[2025-07-19 21:29:04] 8.8.8.8  28.00 ms  (min: 28.00  max: 28.00  avg: 28.00)
[2025-07-19 21:29:04] 1.1.1.1  28.00 ms  (min: 28.00  max: 28.00  avg: 28.00)
[2025-07-19 21:29:04] example.com  timeout (timeouts: 1)
[2025-07-19 21:29:10] 8.8.8.8  27.00 ms  (min: 27.00  max: 28.00  avg: 27.50)
[2025-07-19 21:29:10] 1.1.1.1  27.00 ms  (min: 27.00  max: 28.00  avg: 27.50)
[2025-07-19 21:29:10] example.com  timeout (timeouts: 2)
[2025-07-19 21:29:16] 8.8.8.8  26.00 ms  (min: 26.00  max: 28.00  avg: 27.00)
[2025-07-19 21:29:16] 1.1.1.1  24.00 ms  (min: 24.00  max: 28.00  avg: 26.33)
[2025-07-19 21:29:16] example.com  timeout (timeouts: 3)
[2025-07-19 21:29:22] 8.8.8.8  27.00 ms  (min: 26.00  max: 28.00  avg: 27.00)
[2025-07-19 21:29:22] 1.1.1.1  26.00 ms  (min: 24.00  max: 28.00  avg: 26.25)
[2025-07-19 21:29:22] example.com  timeout (timeouts: 4)
[2025-07-19 21:29:28] 8.8.8.8  27.00 ms  (min: 26.00  max: 28.00  avg: 27.00)
[2025-07-19 21:29:28] 1.1.1.1  25.00 ms  (min: 24.00  max: 28.00  avg: 26.00)
[2025-07-19 21:29:28] example.com  timeout (timeouts: 5)
[2025-07-19 21:29:34] 8.8.8.8  27.00 ms  (min: 26.00  max: 28.00  avg: 27.00)
[2025-07-19 21:29:34] 1.1.1.1  29.00 ms  (min: 24.00  max: 29.00  avg: 26.50)
[2025-07-19 21:29:34] example.com  timeout (timeouts: 6)
[2025-07-19 21:29:40] 8.8.8.8  26.00 ms  (min: 26.00  max: 28.00  avg: 26.86)
[2025-07-19 21:29:40] 1.1.1.1  27.00 ms  (min: 24.00  max: 29.00  avg: 26.57)
[2025-07-19 21:29:40] example.com  timeout (timeouts: 7)
[2025-07-19 21:29:42] 8.8.8.8  27.00 ms  (min: 26.00  max: 28.00  avg: 26.88)
[2025-07-19 21:29:42] 1.1.1.1  25.00 ms  (min: 24.00  max: 29.00  avg: 26.38)
[2025-07-19 21:29:42] example.com  185.00 ms  (min: 185.00  max: 185.00  avg: 185.00)
[2025-07-19 21:29:44] 8.8.8.8  27.00 ms  (min: 26.00  max: 28.00  avg: 26.89)
[2025-07-19 21:29:44] 1.1.1.1  23.00 ms  (min: 23.00  max: 29.00  avg: 26.00)
[2025-07-19 21:29:44] example.com  185.00 ms  (min: 185.00  max: 185.00  avg: 185.00)
[2025-07-19 21:29:46] 8.8.8.8  25.00 ms  (min: 25.00  max: 28.00  avg: 26.70)
[2025-07-19 21:29:46] 1.1.1.1  23.00 ms  (min: 23.00  max: 29.00  avg: 25.70)
[2025-07-19 21:29:46] example.com  187.00 ms  (min: 185.00  max: 187.00  avg: 185.67)
[2025-07-19 21:29:49] 8.8.8.8  28.00 ms  (min: 25.00  max: 28.00  avg: 26.82)
[2025-07-19 21:29:49] 1.1.1.1  25.00 ms  (min: 23.00  max: 29.00  avg: 25.64)
[2025-07-19 21:29:49] example.com  181.00 ms  (min: 181.00  max: 187.00  avg: 184.50)
[2025-07-19 21:29:51] 8.8.8.8  25.00 ms  (min: 25.00  max: 28.00  avg: 26.67)
[2025-07-19 21:29:51] 1.1.1.1  24.00 ms  (min: 23.00  max: 29.00  avg: 25.50)
[2025-07-19 21:29:51] example.com  183.00 ms  (min: 181.00  max: 187.00  avg: 184.20)
[2025-07-19 21:29:53] 8.8.8.8  26.00 ms  (min: 25.00  max: 28.00  avg: 26.62)
[2025-07-19 21:29:53] 1.1.1.1  25.00 ms  (min: 23.00  max: 29.00  avg: 25.46)
[2025-07-19 21:29:53] example.com  186.00 ms  (min: 181.00  max: 187.00  avg: 184.50)
